#,Choose a language!,Interlay 的使命是：,interBTC 是：,Kintsugi（kBTC）是：,INTR 和 KINT 是：,谁能在 Interlay 中运行金库？,interBTC 为用户提供哪些保证？,在哪里可以使用 interBTC？,Interlay's Mission is?,interBTC is?,Kintsugi is?,INTR and KINT are?,Who can run a Vault in Interlay?,What guarantees does interBTC offer to users?,Where will you be able to use interBTC?,You've finished the quiz and scored full marks!,完成测试，满分！,Start Date (UTC),Submit Date (UTC),Network ID,Tags
wjf1faxam3crbslmwjf1fplvr2kq62k1,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",16kBB9WPCtMVJoPtHTVVXeFsNHYGzETtjsdEhampy6tjVYXn,,2022-02-15 19:10:34,2022-02-15 19:14:25,31076a757d,
103vrzp0slqzmno103vccxfvbdi9swcc,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12xRQsnCG3YzGiyR9snkrDEPNT4Mjg2CFZn9dcVP314nWiFq,,2022-02-15 18:29:20,2022-02-15 18:32:20,41caff5b69,
sg9pc69ym80jh9jivu17v76sg9pc66vx,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",138KfQ54HU1EKBz5EBk3dkxejTyFEJkj1cRJSrNMrUP6fB7K,,2022-02-15 18:05:36,2022-02-15 18:07:55,dc31ba7455,
461ce30ozdmd254a1xjtr461ce2ymajm,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14isy8ofcGGkThG2ATNq6ReLjYXiAxQ5wVTgsngABnV4EKDp,,2022-02-15 17:47:39,2022-02-15 17:51:10,499ff466b1,
naa9m4p0n4tb56grsenaa99hd43ws266,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1HA6nFK2taMPBZwABJW7awRVus7BxQVjwZZg6DNqAHwGGi6,,2022-02-15 17:36:39,2022-02-15 17:46:03,a33bd24a10,
w018syo5icftr26a1hw0y2151n276f3a,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",5EFbqUC8gevtFhWpWhsXMpbkPaVsxopJCa2cuMtu7ruqYZPa,,2022-02-15 17:40:13,2022-02-15 17:42:17,a254e7ef60,
8v41bpp5abhrbbl1sy918v41bppjx2nq,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",ok,,2022-02-15 17:32:18,2022-02-15 17:34:43,a33bd24a10,
khvax93jfr5oolctnrdkhvaxoup7wf81,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13MNNfU99hTbBu8g4vSQBWaV37wgU3YfkXAL8GZ7ZwwVxSff,,2022-02-15 17:16:00,2022-02-15 17:19:49,791c2dbc94,
35a4onpizpmh3bi4q0sw35a4onp81mvv,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15hnEFFsiwP646mz6q2vs6EWdGPhFEGbzc7WrrYP64YwdpEG,,2022-02-15 17:03:01,2022-02-15 17:10:22,569506020d,
beikz09g6i84lbsnjnhobeikz0f4szhj,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",162DbUULwHNVNqu7JHnQP476ahz7TzYuhWBut64AzFqqQvjw,,2022-02-15 17:04:27,2022-02-15 17:06:18,c864ef9a7e,
w6zqcqib2r5kpb4dh9w6zq0s01njwenj,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14DJYNxgwUjKRStP4mty3Y8V4HsmqQ3ikhjGrRwyHAaVGL9a,,2022-02-15 16:38:45,2022-02-15 16:54:14,da374e20b7,
a15qq6rqrb9mlmov12ua15q8ua2r70l4,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13TRUEuVokqTwzghGPm6dcQdQ2TfM7sXAeEaSwW5qNKrGsYL,,2022-02-15 16:20:19,2022-02-15 16:24:09,7b33967aff,
yi807wh0w1htb3vw43yi807w4xp1ubw4,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12pZL4AbcTKTKpCSgEwbdwxE8MqLccq5xqHmbzyQnWbpavft,,2022-02-15 15:48:47,2022-02-15 15:52:16,c2ee0c367b,
suvrty3dx92dtbmgsuvrtyis9gm7mmws,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",,,2022-02-15 14:55:24,2022-02-15 14:57:04,7f31f18bfb,
f4sp8cmh03j2wu70nsqf4sp8cm8438n0,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15TBKqoaovX3EFXpstCjpwdCELu8SU8K3r62KDqZfU81DHjr,,2022-02-15 12:52:28,2022-02-15 12:54:56,cf03133500,
l9aem4tees18teikml9aem4b06qt9lj5,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15YUvyV8rK6UVQ4GaM4fYCCBZU4CoGfck8BT52XTM2uUuPWM,,2022-02-15 12:48:15,2022-02-15 12:52:27,86b3c75a6b,
pt7hou9ygvkh6g56rbpt7hojqnmfs9h9,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15iZcfSGqx9fCfNKV1H94zJHCB83yMBwo6S3CSjgFzfR9Jvm,,2022-02-15 12:42:19,2022-02-15 12:47:35,9a402a2f7f,
1czjsn7j6777ss361c1q2l4bfr82eaan,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14KRy3B9umKgnFTorrLh4mpUuLAoiKaoUU96Nbnvu9jXZiZt,,2022-02-15 12:12:23,2022-02-15 12:15:07,84aea66af5,
t57pnt5skexvdi34dpnt57pnt5sk5ffw,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,12EmtGwAjayMXkN2egxaEGgufQLaxU6q24W2X99HyGhoE2LA,2022-02-15 11:56:12,2022-02-15 11:59:28,e1152ff948,
qe80hnyosay480ukk69apqe80hnfoxls,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1pbsVTy532AWxR2fQTLr8V3FJAznzjymBxep4S8wyahcYcp,,2022-02-15 11:51:41,2022-02-15 11:54:11,2d9b714976,
kmpxe6dzlrv7w1mmjfzb2kmpxe6dji2c,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12eFcRJXkxsPBzfTTWVrmeXw5BzPAeubpeMGTx7okaAtDQTR,,2022-02-15 09:40:15,2022-02-15 09:47:02,adcb546af7,
66317d8ze10nlvc6631enuv8li5jiy6i,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1HGBwgB8uDDjVicdSz5oxZjzGnJPNTDNZhwBnHH3fZDEx3y,,2022-02-15 08:04:54,2022-02-15 08:09:24,f4df08001e,
vnpo5y9dfrkvl0ynkrvnpo5jlr8hqn42,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",,,2022-02-15 00:27:24,2022-02-15 00:29:48,6e9b20afb1,
7zse95amxe4szeviz7zse97stqk22cu5,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12rYForx1knCEcvY1StCWY9JeL4RGDFTAsXkQcWPi3xCeaZT,,2022-02-14 21:47:58,2022-02-14 22:02:32,94ab457d4f,
yylkh9hidsityf0jyylkhc9iei4v383l,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14BoeEgAUVUdPfgAo5kgjKXzp9CakDVqtXHgiCYcspy7TsCq,,2022-02-14 21:00:25,2022-02-14 21:06:29,33612d2e19,
9bkchitdas41zw6d39bkc936tso3sirj,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1Zg3wewFEX4YvE5YQ3hA9mHXGDinJi35xaSsnHVVdPgnGLj,,2022-02-14 20:19:04,2022-02-14 20:20:58,568ee9a619,
14bc8imd65znogxx528os14bc8iz8il2,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",152b4dNq6t3Y7Tr5rQffVPyHAzmhFExCzU6JyxnyJXCBuS4c,,2022-02-14 19:06:58,2022-02-14 19:09:30,7bac4d5951,
rc1g5manvsvhyd1lzrc1g52iv6fjap26,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13DrxbHuqBizJPAGw7tye6NiCY9P4q78qi7YdS3UTWs57M2n,,2022-02-14 17:45:34,2022-02-14 17:48:11,9e24bba60d,
q9qvrx5aq73rjsp2w3q9qvrx9je6t84m,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15AzKEetoADAzJCCDxvcxMruhnsdW3yjRCgGQ8T1SD254gkR,,2022-02-14 17:13:17,2022-02-14 17:16:54,1639db2bf5,
kdo3bbm2diyv04igv3r0bkdo3bbwocuy,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15kQZhxNdrfQKvYWPKXEerAsWHi24HHUgzsfebNTADkZt3Hz,,2022-02-14 17:12:42,2022-02-14 17:16:45,ae80fbd31f,
gso6h3lt5zltbhr9buhgso6h3m5jq6f4,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15LzwLRBo9ennhmvUecq9xzvMFQDWd68e7s4Ww382JbG5uRa,,2022-02-14 16:59:43,2022-02-14 17:01:41,55b77bffc4,
z3fkm1uv2z4gwqm2p3axvkz3fkm1a7ji,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,15QYeE7CmRGpmkSPnZpcmENTJVoeeVuGa3cHxDbnPvYeV24D,2022-02-14 16:26:33,2022-02-14 16:32:02,5785486332,
a97s6elrekmva97s3qwqd66ftrdg1t5n,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15oD2PuSi24oWTxZ1saXzyjoXrmaxySmzbQCzhLPAKhQPGhU,,2022-02-14 16:24:58,2022-02-14 16:25:40,842353a0b7,
dwcxd891rbjgfpldwcxd8zdubg0dhc26,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",16kAgzvjZHz7JtzPEPPE2kTb6bENEvFFaBBE9VNqioUBiL1k,,2022-02-14 16:23:00,2022-02-14 16:24:37,842353a0b7,
elog34fgw7sg7eunelog34xk03oy18hm,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12KkE5ZSCV3BkeGfEkfAdW9PyTy51WU6iydcqK6K6FEPMtGz,,2022-02-14 16:17:34,2022-02-14 16:19:23,8b839b9441,
ucjqkjzlkbqjkzpvfnazsucjqkjzphkp,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1HoNP9UoVyyatvRQg9Pq2ND3xfNuFG1mqsZzeRMeADkWMjt,,2022-02-14 16:05:45,2022-02-14 16:07:49,b44ab24d49,
g3vlm9s897exofvk1sftg3vlm9s8jck3,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",,,2022-02-14 15:52:23,2022-02-14 15:53:35,c95727dbd1,
9ilmyzrbm5ajnhsj9t9ilmyzin0g5zeg,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",,,2022-02-14 11:23:36,2022-02-14 11:25:48,b4277f941e,
ole708m90she87pnvi82xole70c85ik1,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14idrxxEmaHZgSK2aMg5hwNhJRfQsXYJLZwoPGtwWzD1f6kd,,2022-02-14 10:39:31,2022-02-14 10:41:57,60b1138930,
zeuuun86uuwwcjrszeae7q4p127qdoag,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,1EDnroriEbLmFzi4f3RK6fkug4pvXFMor7nMaLa7oGR1xZ6,2022-02-14 10:21:34,2022-02-14 10:23:43,96a4b73089,
jczi9x822qf0isrlc7wskajczi9s7ouy,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,14VVinNsTKaaHmzgJbSSUdi82cwMdctzLZNwUE9gM38RwUC5,2022-02-14 09:18:09,2022-02-14 09:18:58,a8b6d49ecd,
evmwotqkvbjslva8ny0vggeevmwotq63,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,167njdnHehwZidbfQwsXGzaz9V6PPPLH3BAP2UNWcgEDgUQY,2022-02-14 08:41:59,2022-02-14 08:45:15,a8b6d49ecd,
l6ey4aul2jq3jo4yakl6ey4asy9pwahw,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14DVrodw2iWMwNAcMTZbWgMzkfpaP6UxveAC9Dzwgmtw91tZ,,2022-02-14 06:34:33,2022-02-14 06:39:58,2d0d31b7e9,
aw4ysgr5t7v4vvfmaw4y5ykpd0km0pm3,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",152av9JNrfj65n72YaTa9F5KcYUeaiZvuyQ9qwMnvBXkrbTK,,2022-02-14 05:30:24,2022-02-14 05:31:52,3a89005be0,
9on7mskat7xjl9on3cwe0fbqw7ny2pgd,English,,,,,,,,,,,,,,,,,2022-02-14 04:37:05,2022-02-14 04:38:00,e745bfd18e,
yzoipnba6m4ri3tyzoipnb3opm35b093,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",When will it be 100%?,,2022-02-14 04:32:48,2022-02-14 04:36:10,e745bfd18e,
mk3dwwejtsfii4b3mw8fbmk3dwckavfi,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14iZMJKG9LKtzaGJqroHr6cSHQ6Ux4Nbdte1GSE4UZf7N9Zi,,2022-02-13 23:30:15,2022-02-13 23:31:20,80e93fa73f,
wgqdx6zy4on94vc5wgqdfn9if8b4m1dz,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",148Ua3MWF9TrEk29A6UDoiD7ydrexkkQdL6pVZhfdRooeshT,,2022-02-13 22:46:40,2022-02-13 22:56:24,3e8bef9b6e,
wl6kbucxgfhmetmvwl6k3qa1902e67by,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",16Cm5suYtuoNHXrfCJMYHdygvjWTFvk1Q2j5L9M4rNp82Mdx,,2022-02-13 22:48:59,2022-02-13 22:54:51,bcb7d7d9ea,
